trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.12403473458920847}",30,0,6.835609488080662,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.12309149097933272}",25,4,-33.43767322565446,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.12216944435630522}",25,0,-34.06857550589682,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.12126781251816648}",20,0,11.726052786177574,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.1203858530857692}",25,0,12.074032500544853,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.11952286093343936}",30,0,-6.851629830468443,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.11867816581938533}",30,0,-48.577557693375205,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.11785113019775793}",35,26,-4.039129507488876,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.11704114719613057}",20,16,7.071393338014667,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.11624763874381928}",25,0,29.309384416316785,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.11547005383792514}",20,10,15.33755525859907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.11470786693528087}",20,12,11.730719822165558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.11396057645963795}",25,0,-27.412215170494328,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.11322770341445956}",20,0,-19.000476199934774,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.1125087900926024}",20,0,11.691241922556019,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.11180339887498948}",20,0,-50.052127482925556,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-1.1420825242444357,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.11043152607484653}",25,0,-25.93056681595554,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.10976425998969035}",20,0,-3.812852831831219,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.1091089451179962}",20,0,-34.46544205708755,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.10846522890932808}",25,0,-12.043035213865137,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.10783277320343841}",20,0,-6.737546946118324,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.10721125348377948}",20,0,7.772750346189354,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.10660035817780521}",25,0,-39.877262859411495,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.105999788000636}",30,17,21.391849470765145,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.10540925533894598}",20,6,-2.1324395870402912,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.10482848367219183}",20,0,-18.265046618623785,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.10425720702853739}",30,0,8.306887377798695,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.10369516947304253}",25,0,-16.408596337996595,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.10314212462587934}",25,0,9.895544487104369,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.10259783520851541}",30,11,5.309508647240937,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.10206207261596577}",20,14,12.398172776974313,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.10153461651336192}",20,0,16.804094621706966,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.10101525445522107}",20,0,21.48046788485509,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.10050378152592121}",20,0,-11.342088513578855,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.1}",20,0,-50.4127305474573,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.09950371902099892}",20,0,11.152428624350922,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.09901475429766744}",25,0,-75.44029816165192,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.09853292781642932}",25,0,9.539262347594184,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.09805806756909202}",20,0,12.533057762751561,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.09759000729485333}",20,0,-38.45691425544157,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.09712858623572641}",25,0,22.923193429921966,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.09667364890456635}",30,0,-22.243523837497108,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.09622504486493763}",30,12,-64.25331680356108,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.09578262852211514}",25,0,22.889226182735925,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.09534625892455924}",25,0,15.044211533113117,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.0949157995752499}",20,11,13.515124413519365,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.0944911182523068}",20,0,-42.01580055776067,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.09407208683835973}",20,0,-6.502166502997105,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.0936585811581694}",30,0,-16.239602628666837,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.09325048082403138}",35,0,-33.03890451325728,"{0: 29, 1: 0, 2: 5, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.09284766908852593}",25,0,17.534877406584034,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
